2022-05-09 14:51:13.775738 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-09 14:52:03.024521 CLASS: MAIN, METHOD: main() LOG: qué hora es qué hora es qué hora es asistente qué hora es
2022-05-09 14:52:03.027468 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: is what time
2022-05-09 14:52:09.722707 CLASS: WHAT_IS, METHOD: is_what(time) LOG: text: Son las14:52
2022-05-09 14:52:09.727240 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:is_what(time)
2022-05-09 14:52:09.730406 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: is what time
2022-05-09 14:52:16.203304 CLASS: WHAT_IS, METHOD: is_what(time) LOG: text: Son las14:52
2022-05-09 14:52:16.213226 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:is_what(time)
2022-05-09 14:52:30.098931 CLASS: MAIN, METHOD: main() LOG: lo tengo lo tengo
2022-05-09 15:09:50.105200 CLASS: MAIN, METHOD: main() LOG: cómo puede ser que se conectan internet ahora
2022-05-09 15:10:00.944489 CLASS: MAIN, METHOD: main() LOG: el juego no lo entiendo
2022-05-09 16:07:09.192566 CLASS: MAIN, METHOD: main() LOG: era clase el lunes escrita pasan las clases del lunes para otros
2022-05-09 16:08:45.073817 CLASS: MAIN, METHOD: main() LOG: encima
2022-05-09 16:10:54.235705 CLASS: MAIN, METHOD: main() LOG: perdón por quitarte la tele pero es que no tiene que estar conectado al router
2022-05-09 16:16:49.364639 CLASS: MAIN, METHOD: main() LOG: sabes que se puede hacer con la otra tablet la otra samsung instala el sistema en otra tarjetita y ahora es que se está actualizando y así no todas las voy a cambiar la carpeta de but de ahí la voy a poner en este a ver si funciona he leído por ahí que se soluciona con esto pero vamos es que yo no he hecho nada mal sabes me han recomendado que actualice sí que es verdad que ponía que no era estrictamente necesario pero no se toma para mantener las cosas actualizadas sabes
2022-05-11 11:45:45.708560 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 11:47:49.614807 CLASS: MAIN, METHOD: main() LOG: asistente jode p*** asistente ni reconoce ni quieres reconocer
2022-05-11 11:48:10.287691 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 11:48:55.131999 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 11:49:07.908965 CLASS: MAIN, METHOD: main() LOG: hola asistente
2022-05-11 11:49:15.128376 CLASS: MAIN, METHOD: main() LOG: y no entras en el p***
2022-05-11 11:49:56.924625 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 11:50:53.709228 CLASS: MAIN, METHOD: main() LOG: asistente asistente
2022-05-11 11:50:53.712200 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado:   
2022-05-11 11:51:43.669993 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 11:51:51.674183 CLASS: MAIN, METHOD: main() LOG: qué hora es
2022-05-11 11:51:51.678125 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: is what time
2022-05-11 11:51:58.399712 CLASS: WHAT_IS, METHOD: is_what(time) LOG: text: Son las11:51
2022-05-11 11:51:58.402839 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:is_what(time)
2022-05-11 11:54:44.205325 CLASS: MAIN, METHOD: main() LOG: asistente asistente asistente
2022-05-11 11:54:44.209436 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado:   
2022-05-11 11:54:58.166518 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 11:55:13.933996 CLASS: MAIN, METHOD: main() LOG: tente
2022-05-11 11:55:13.936923 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado:   
2022-05-11 11:55:20.994128 CLASS: MAIN, METHOD: main() LOG: qué hora es
2022-05-11 11:55:54.612324 CLASS: MAIN, METHOD: main() LOG: asistente qué hora es
2022-05-11 11:55:54.615247 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: is what time
2022-05-11 11:56:01.762120 CLASS: WHAT_IS, METHOD: is_what(time) LOG: text: Son las11:55
2022-05-11 11:56:01.769459 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:is_what(time)
2022-05-11 11:56:19.334179 CLASS: MAIN, METHOD: main() LOG: asistente que ahora es una vez lo dice una vez
2022-05-11 11:56:19.337971 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: is  
2022-05-11 11:56:37.513018 CLASS: MAIN, METHOD: main() LOG: asistente asistente
2022-05-11 11:56:37.516080 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado:   
2022-05-11 11:57:35.012313 CLASS: MAIN, METHOD: main() LOG: asistente abre la carpeta documentos
2022-05-11 11:57:35.015369 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: open folder Documentos
2022-05-11 11:57:57.747445 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:open_folder(Documentos)
